Frequency,Folder,N,p_hat,r_u,r_f,beta,gamma,A,K_ru,R2
1GHz,V1.3_F1_T27,1009999,0.4775163143725885,-0.05638810998206621,0.22867078925942386,0.1759307696762898,0.8240692303237103,0.04969192282462434,0.6358845783923486,0.807531876108515
2GHz,V1.3_F2_T27,1009999,0.4695410589515435,-0.07642357048688496,0.3197517921950256,0.25726300857384504,0.742736991426155,0.0927575632385263,0.6352698712647314,0.8819779340370278
3GHz,V1.3_F3_T27,984741,0.45016100680280396,-0.12525457397013048,0.39014307249780716,0.31065454059223974,0.6893454594077603,0.132103872908311,0.6329992610977194,0.8891932600231391
4GHz,V1.3_F4_T27,1010012,0.4758488017964143,-0.06057510103833993,0.4809316177282748,0.38097268891437364,0.6190273110856264,0.18784708735887035,0.6357714086009473,0.9845227232121021
5GHz,V1.3_F5_T27,1012576,0.4958274736908637,-0.010459163115104177,0.6769536421644813,0.3311827257757399,0.6688172742242602,0.31425416228417213,0.6365944661110496,0.9563750130904021
